text,target,len,is_spam,text_clean
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,111,0,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'bufet', 'cine', 'get', 'amore', 'wat']"
Ok lar... Joking wif u oni...,0,29,0,"['ok', 'lar', 'joking', 'wif', 'u', 'oni']"
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,155,1,"['fre', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'c', 'aply']"
U dun say so early hor... U c already then say...,0,49,0,"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say']"
"Nah I don't think he goes to usf, he lives around here though",0,61,0,"['nah', 'think', 'go', 'usf', 'life', 'around', 'though']"
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, еЈ1.50 to rcv",1,148,1,"['fremsg', 'hey', 'darling', 'ben', 'wek', 'word', 'back', 'like', 'fun', 'stil', 'tb', 'ok', 'x', 'std', 'chgs', 'send', 'rcv']"
Even my brother is not like to speak with me. They treat me like aids patent.,0,77,0,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']"
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,0,"['per', 'request', 'mele', 'mele', 'oru', 'minaminunginte', 'nurungu', 'vetam', 'ben', 'set', 'calertune', 'al', 'calers', 'pres', 'copy', 'friend', 'calertune']"
WINNER!! As a valued network customer you have been selected to receivea еЈ900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,158,1,"['winer', 'value', 'network', 'customer', 'ben', 'select', 'receivea', 'prize', 'reward', 'claim', 'cal', 'claim', 'code', 'kl', 'valid', 'hour']"
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,154,1,"['mobile', 'month', 'u', 'r', 'entitle', 'update', 'late', 'colour', 'mobile', 'camera', 'fre', 'cal', 'mobile', 'update', 'co', 'fre']"
